"t","CO2","H2","formic_acid","formaldehyde","methanol","CO","acetic_acid","H2O"
8.96194367636326e-07,4764,4753,225,11,0,0,0,11
8.98366134824993e-07,4763,4752,226,11,0,0,0,11
8.99833374643075e-07,4762,4751,227,11,0,0,0,11
9.05694608118249e-07,4761,4750,228,11,0,0,0,11
9.07028565271755e-07,4760,4749,229,11,0,0,0,11
9.15048772340414e-07,4759,4748,230,11,0,0,0,11
9.21180880189233e-07,4758,4747,231,11,0,0,0,11
9.25633363930721e-07,4757,4746,232,11,0,0,0,11
9.320607461345e-07,4756,4745,233,11,0,0,0,11
9.32173525702493e-07,4755,4744,234,11,0,0,0,11
9.40577470489143e-07,4754,4743,235,11,0,0,0,11
9.40634089952942e-07,4753,4742,236,11,0,0,0,11
9.44883950138422e-07,4752,4741,237,11,0,0,0,11
9.48179530651055e-07,4751,4740,238,11,0,0,0,11
9.51995491875835e-07,4750,4739,239,11,0,0,0,11
9.55483597231286e-07,4749,4738,240,11,0,0,0,11
9.63316085343564e-07,4748,4737,241,11,0,0,0,11
9.67529008719159e-07,4747,4736,242,11,0,0,0,11
9.72374154945973e-07,4746,4735,243,11,0,0,0,11
9.73855725961034e-07,4745,4734,243,11,0,1,0,12
9.75636829539946e-07,4744,4733,244,11,0,1,0,12
9.7612652951216e-07,4744,4732,243,12,0,1,0,13
9.76356798025249e-07,4743,4731,244,12,0,1,0,13
9.78781539217455e-07,4742,4730,245,12,0,1,0,13
9.98849836560889e-07,4741,4729,246,12,0,1,0,13
1.00284220854068e-06,4741,4728,245,13,0,1,0,14
1.00414978227089e-06,4740,4727,246,13,0,1,0,14
1.00924290339481e-06,4739,4726,247,13,0,1,0,14
1.01087122569823e-06,4738,4725,248,13,0,1,0,14
1.01192422434392e-06,4737,4724,249,13,0,1,0,14
1.01217070528172e-06,4736,4723,250,13,0,1,0,14
1.01285815699567e-06,4735,4722,251,13,0,1,0,14
1.01335468875815e-06,4734,4721,252,13,0,1,0,14
1.01883034271557e-06,4733,4720,253,13,0,1,0,14
1.02019431970924e-06,4732,4719,254,13,0,1,0,14
1.02405753581711e-06,4732,4718,253,14,0,1,0,15
1.0309198354447e-06,4731,4717,254,14,0,1,0,15
1.03276240672045e-06,4730,4716,255,14,0,1,0,15
1.03296283374537e-06,4729,4715,256,14,0,1,0,15
1.0348236951969e-06,4728,4714,257,14,0,1,0,15
1.0437335586109e-06,4727,4713,258,14,0,1,0,15
1.04537113050722e-06,4727,4712,257,15,0,1,0,16
1.04611859434571e-06,4726,4711,258,15,0,1,0,16
1.04618539301955e-06,4725,4710,259,15,0,1,0,16
1.04873404649316e-06,4724,4709,260,15,0,1,0,16
1.05138391883976e-06,4724,4708,259,16,0,1,0,17
1.05180723154667e-06,4723,4707,260,16,0,1,0,17
1.0585490559857e-06,4722,4706,261,16,0,1,0,17
1.0753168061149e-06,4721,4705,262,16,0,1,0,17
1.0753763918439e-06,4720,4704,263,16,0,1,0,17
1.09014042144159e-06,4719,4703,264,16,0,1,0,17
1.09558937239372e-06,4718,4702,265,16,0,1,0,17
